AMDPROFILER POWER PROFILE REPORT

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x21)
Sampling Interval:,100 milli-seconds
Profile Start Time:,Dec-11-2022_21-00-43,
Profile Duration:,24 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
216,21:1:5:355,   37.56,    1.74,    1.56,    1.50,    8.04,   10.66,    1.46
217,21:1:5:455,   33.56,    1.66,    1.52,    0.97,    1.31,   11.46,    1.41
218,21:1:5:555,   33.49,    2.78,    1.52,    1.64,    1.35,   10.08,    1.64
219,21:1:5:655,   23.89,    1.63,    0.93,    0.87,    0.62,    0.61,    1.17
220,21:1:5:755,   21.62,    0.41,    0.39,    0.32,    0.38,    0.36,    0.24
221,21:1:5:855,   21.34,    0.40,    0.36,    0.02,    0.39,    0.12,    0.07
222,21:1:5:955,   20.94,    0.35,    0.35,    0.04,    0.35,    0.00,    0.02
223,21:1:6:055,   21.21,    0.35,    0.36,    0.04,    0.36,    0.00,    0.03
224,21:1:6:155,   21.26,    0.36,    0.36,    0.07,    0.36,    0.01,    0.04
225,21:1:6:255,   21.22,    0.34,    0.35,    0.02,    0.35,    0.00,    0.03
226,21:1:6:355,   21.13,    0.35,    0.36,    0.01,    0.36,    0.00,    0.03
227,21:1:6:455,   20.94,    0.35,    0.35,    0.02,    0.35,    0.00,    0.03
228,21:1:6:555,   21.49,    0.39,    0.39,    0.06,    0.45,    0.01,    0.12
229,21:1:6:655,   21.53,    0.48,    0.51,    0.30,    0.44,    0.17,    0.32
230,21:1:6:755,   21.19,    0.34,    0.36,    0.05,    0.35,    0.00,    0.04
231,21:1:6:855,   21.14,    0.35,    0.35,    0.02,    0.20,    0.00,    0.03
232,21:1:6:955,   20.87,    0.34,    0.35,    0.06,    0.05,    0.00,    0.03
233,21:1:7:055,   21.13,    0.35,    0.36,    0.20,    0.04,    0.00,    0.02
234,21:1:7:155,   21.11,    0.35,    0.35,    0.15,    0.05,    0.03,    0.02
