AMDPROFILER POWER PROFILE REPORT

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x21)
Sampling Interval:,100 milli-seconds
Profile Start Time:,Dec-04-2022_16-10-59,
Profile Duration:,50 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
137,16:11:13:476,   25.95,    9.27,    0.11,    1.40,    0.94,    0.21,    0.23
138,16:11:13:576,   26.82,   10.08,    0.34,    1.39,    0.36,    0.06,    0.23
139,16:11:13:676,   27.11,   10.22,    0.12,    1.09,    0.39,    0.42,    0.19
140,16:11:13:776,   27.54,   10.67,    0.77,    1.41,    0.93,    0.12,    0.32
141,16:11:13:876,   27.10,    9.38,    1.15,    0.59,    1.19,    0.29,    0.35
142,16:11:13:976,   26.67,   10.08,    1.19,    0.44,    0.71,    0.40,    0.23
143,16:11:14:076,   27.73,   10.41,    1.18,    0.62,    0.25,    0.23,    0.18
144,16:11:14:176,   26.55,    9.73,    1.16,    0.69,    0.40,    0.27,    0.24
145,16:11:14:276,   25.90,    8.56,    1.13,    0.37,    0.20,    0.18,    0.15
146,16:11:14:376,   26.63,    9.89,    1.17,    0.51,    0.20,    0.32,    0.28
147,16:11:14:476,   26.76,   10.23,    1.18,    0.45,    0.47,    0.16,    0.21
148,16:11:14:576,   25.86,    8.83,    1.13,    0.40,    0.14,    0.26,    0.18
149,16:11:14:676,   26.55,    9.16,    1.17,    0.25,    0.25,    0.29,    0.26
150,16:11:14:776,   30.90,   10.81,    1.32,    0.34,    0.17,    0.22,    0.40
151,16:11:14:876,   38.17,   11.31,    1.41,    0.79,    0.49,    4.42,    1.33
152,16:11:14:976,   38.51,   11.38,    1.44,    0.11,    0.62,   12.44,    0.80
153,16:11:15:076,   30.87,   10.04,    1.28,    0.16,    1.53,   12.51,    0.49
154,16:11:15:176,   27.27,    8.78,    1.13,    0.26,    1.14,    5.69,    0.40
155,16:11:15:276,   26.98,    8.75,    0.60,    0.06,    1.00,    1.06,    0.49
156,16:11:15:376,   26.27,    9.93,    0.11,    0.33,    1.03,    0.94,    0.46
157,16:11:15:476,   26.16,    9.13,    0.15,    0.36,    1.01,    0.18,    0.39
158,16:11:15:576,   26.34,    9.02,    0.08,    0.54,    1.13,    0.06,    0.48
159,16:11:15:676,   26.70,    9.38,    0.15,    1.20,    1.00,    0.35,    0.51
160,16:11:15:776,   28.25,   10.05,    0.13,    0.96,    1.06,    0.06,    0.78
161,16:11:15:876,   27.22,    9.79,    0.09,    1.26,    1.05,    0.38,    0.49
162,16:11:15:976,   26.85,    8.99,    0.16,    1.19,    1.08,    0.10,    0.87
163,16:11:16:076,   26.93,    8.69,    0.12,    1.23,    1.03,    0.14,    1.00
164,16:11:16:176,   26.25,    8.61,    0.11,    1.23,    1.07,    0.18,    1.19
165,16:11:16:276,   27.07,    8.76,    0.20,    1.26,    0.41,    0.16,    1.20
166,16:11:16:376,   27.32,    8.81,    0.25,    1.42,    0.67,    0.22,    1.45
167,16:11:16:476,   27.18,   10.13,    0.18,    1.29,    1.14,    0.39,    1.46
168,16:11:16:576,   26.22,    9.10,    0.36,    0.46,    1.05,    0.05,    1.22
169,16:11:16:676,   26.99,    9.13,    0.97,    0.36,    0.42,    0.03,    1.24
170,16:11:16:776,   28.74,   10.11,    1.16,    0.89,    0.36,    0.21,    1.25
171,16:11:16:876,   27.38,    9.00,    1.14,    1.28,    0.86,    0.04,    1.06
172,16:11:16:976,   26.92,    9.39,    1.15,    1.24,    0.32,    0.17,    0.32
173,16:11:17:076,   26.62,    9.35,    1.12,    1.26,    0.13,    0.06,    0.26
174,16:11:17:176,   26.91,    9.50,    0.98,    1.22,    0.18,    0.30,    0.24
175,16:11:17:276,   27.02,    9.09,    1.12,    1.23,    0.24,    0.23,    0.29
176,16:11:17:376,   27.24,    8.96,    1.10,    1.24,    0.31,    0.12,    0.21
177,16:11:17:476,   26.89,    9.04,    1.13,    1.24,    0.15,    0.86,    0.44
178,16:11:17:576,   26.42,    9.01,    0.69,    1.21,    0.25,    0.33,    1.30
179,16:11:17:676,   27.84,    9.63,    1.01,    0.10,    0.21,    0.15,    1.23
180,16:11:17:776,   27.37,    9.28,    1.15,    0.11,    0.91,    0.32,    1.22
181,16:11:17:876,   27.68,    9.08,    1.09,    0.11,    1.28,    0.20,    1.13
182,16:11:17:976,   26.99,    8.86,    1.10,    0.10,    1.16,    0.20,    1.14
183,16:11:18:076,   28.82,    8.89,    1.16,    0.08,    1.14,    0.15,    1.18
184,16:11:18:176,   27.71,    8.50,    0.83,    0.12,    2.31,    0.56,    1.18
185,16:11:18:276,   27.61,    8.49,    1.12,    0.04,    1.12,    1.22,    1.31
186,16:11:18:376,   27.22,    8.75,    1.11,    0.14,    0.57,    1.18,    1.15
187,16:11:18:476,   26.90,    8.34,    0.95,    0.07,    0.41,    1.21,    1.10
188,16:11:18:576,   26.81,    8.74,    0.77,    0.05,    0.21,    1.14,    1.15
189,16:11:18:676,   27.10,    8.57,    1.10,    0.06,    0.28,    1.21,    1.15
190,16:11:18:776,   27.95,    9.03,    1.14,    0.06,    0.24,    1.20,    1.16
191,16:11:18:876,   27.80,    9.41,    0.82,    0.04,    0.41,    1.22,    1.20
192,16:11:18:976,   26.95,    8.89,    1.04,    0.07,    0.38,    1.25,    1.15
193,16:11:19:076,   26.63,    8.73,    0.87,    0.08,    0.22,    1.20,    1.11
194,16:11:19:176,   26.31,    8.82,    0.78,    0.12,    0.23,    1.16,    0.30
195,16:11:19:276,   26.42,    8.56,    0.91,    0.76,    0.21,    1.16,    0.08
196,16:11:19:376,   27.12,    8.82,    1.10,    1.19,    0.19,    1.14,    0.15
197,16:11:19:476,   28.08,    9.10,    1.13,    1.20,    0.32,    1.16,    0.10
198,16:11:19:576,   26.63,    8.55,    0.77,    1.23,    0.29,    1.19,    0.31
199,16:11:19:676,   28.16,    9.13,    1.07,    0.77,    0.22,    1.14,    1.18
200,16:11:19:776,   29.50,    8.67,    1.17,    0.05,    0.24,    1.18,    1.24
201,16:11:19:876,   36.15,   10.30,    1.36,    0.36,    0.27,    3.62,    1.44
202,16:11:19:976,   33.82,   10.07,    1.36,    0.16,    0.31,   12.00,    1.23
